ID_QUADRAT,FECHA_MUESTREOS,TIPO_VEG,TRAT_QUEMA,TRAT_PASTO,COB_TOTAL,REC_VEG,REC_VEG_VERDE,COB_TOTAL_VERDE
1,2022-06-09,Lastonar,Quemado,Pastoreo,20,23.35,23.35,20
1,2022-11-15,Lastonar,Quemado,Pastoreo,30,37.39,23.64,18.96
1,2023-05-16,Lastonar,Quemado,Pastoreo,3,3.52,2.7,2.3
1,2023-06-06,Lastonar,Quemado,Pastoreo,1,1.11,1.01,0.9
1,2023-11-15,Lastonar,Quemado,Pastoreo,7,7.21,7.1,6.89
1,2024-06-06,Lastonar,Quemado,Pastoreo,23,22.66,19.41,19.7
1,2024-11-12,Lastonar,Quemado,Pastoreo,12,11.97,8.34,8.36
1,2025-05-19,Lastonar,Quemado,Pastoreo,40,69.24,65.24,37.68
2,2022-06-09,Lastonar,Quemado,Pastoreo,20,20.39,20.39,20
2,2022-11-15,Lastonar,Quemado,Pastoreo,20,19.72,19.44,19.71
2,2023-05-16,Lastonar,Quemado,Pastoreo,1,0.54,0.54,1
2,2023-06-06,Lastonar,Quemado,Pastoreo,1,1.26,1.1,0.87
2,2023-11-15,Lastonar,Quemado,Pastoreo,6,6.37,6.37,6
2,2024-06-06,Lastonar,Quemado,Pastoreo,17,17.42,16.92,16.51
2,2024-11-12,Lastonar,Quemado,Pastoreo,7,6.65,5.47,5.75
2,2025-05-19,Lastonar,Quemado,Pastoreo,30,49.78,49.14,29.61
3,2022-06-09,Lastonar,Quemado,Excluido,35,40.11,40.11,35
3,2022-11-15,Lastonar,Quemado,Excluido,25,33.69,29.32,21.75
3,2023-05-16,Lastonar,Quemado,Excluido,7,7.25,5.79,5.59
3,2023-06-06,Lastonar,Quemado,Excluido,17,16.64,16.64,17
3,2023-11-15,Lastonar,Quemado,Excluido,13,13.29,12.77,12.49
3,2024-06-06,Lastonar,Quemado,Excluido,30,32.01,24.49,22.95
3,2024-11-12,Lastonar,Quemado,Excluido,16,16.44,12.03,11.7
3,2025-05-19,Lastonar,Quemado,Excluido,50,58.18,51.09,43.9
4,2022-06-09,Lastonar,Quemado,Excluido,30,33.87,33.87,30
4,2022-11-15,Lastonar,Quemado,Excluido,30,29.58,20.89,21.18
4,2023-05-16,Lastonar,Quemado,Excluido,9,8.58,1.95,2.04
4,2023-06-06,Lastonar,Quemado,Excluido,5,4.99,4.55,4.55
4,2023-11-15,Lastonar,Quemado,Excluido,20,21.13,16.02,15.16
4,2024-06-06,Lastonar,Quemado,Excluido,27,26.58,14.1,14.32
4,2024-11-12,Lastonar,Quemado,Excluido,20,20.1,14.29,14.21
4,2025-05-19,Lastonar,Quemado,Excluido,40,58.32,55.19,37.85
5,2022-06-09,Lastonar,Quemado,Pastoreo,90,94.32,47.56,45.38
5,2022-11-15,Lastonar,Quemado,Pastoreo,89,88.74,45.43,45.56
5,2023-05-16,Lastonar,Quemado,Pastoreo,2,1.95,1.34,1.37
5,2023-06-06,Lastonar,Quemado,Pastoreo,2,2.15,1.61,1.49
5,2023-11-15,Lastonar,Quemado,Pastoreo,10,9.99,9.99,10
5,2024-06-06,Lastonar,Quemado,Pastoreo,18,26.13,20.27,13.96
5,2024-11-12,Lastonar,Quemado,Pastoreo,21,21.1,15.57,15.49
5,2025-05-19,Lastonar,Quemado,Pastoreo,35,44.46,41.9,32.98
6,2022-06-09,Lastonar,Quemado,Pastoreo,45,47.61,34.7,32.79
6,2022-11-15,Lastonar,Quemado,Pastoreo,46,45.43,40.7,41.21
6,2023-05-16,Lastonar,Quemado,Pastoreo,8,7.98,2.25,2.25
6,2023-06-06,Lastonar,Quemado,Pastoreo,4,4.25,3.35,3.15
6,2023-11-15,Lastonar,Quemado,Pastoreo,7,7.98,7.57,6.64
6,2024-06-06,Lastonar,Quemado,Pastoreo,16,15.9,12.61,12.68
6,2024-11-12,Lastonar,Quemado,Pastoreo,20,20.39,17.73,17.39
6,2025-05-19,Lastonar,Quemado,Pastoreo,45,86.04,82.73,43.26
7,2022-06-09,Lastonar,Quemado,Excluido,40,55.05,53.97,39.21
7,2022-11-15,Lastonar,Quemado,Excluido,35,35.43,34.73,34.3
7,2023-05-16,Lastonar,Quemado,Excluido,6,5.44,4.97,5.48
7,2023-06-06,Lastonar,Quemado,Excluido,5,5.27,5.27,5
